rank,language,language_id,aliases,active_repositories,market_share
1,Python,303,"py, py3, python3, rusthon",11993715,26.301839
2,JavaScript,183,"js, node",10651753,23.358958
3,TypeScript,378,ts,8811910,19.324241
4,Java,181,,3330999,7.304776
5,C++,43,cpp,1506076,3.302777
6,C#,42,"csharp, cake, cakescript",1419808,3.113594
7,PHP,272,inc,1091242,2.393059
8,Shell,346,"sh, shell-script, bash, zsh, envrc",887368,1.945970
9,C,41,,863275,1.893135
10,Go,132,golang,693744,1.521359
11,Dart,87,,566154,1.241558
12,Kotlin,189,,551947,1.210402
13,Rust,327,rs,522357,1.145512
14,Lua,213,,286621,0.628551
15,Swift,362,,275939,0.605126
16,R,307,"Rscript, splus",204565,0.448605
17,HCL,144,"HashiCorp Configuration Language, opentofu, terraform",202208,0.443436
18,Ruby,326,"jruby, macruby, rake, rb, rbx",151535,0.332311
19,Dockerfile,89,Containerfile,148119,0.324820
20,PowerShell,293,"posh, pwsh",127636,0.279902
21,GDScript,123,,92290,0.202389
22,Makefile,220,"bsdmake, make, mf",80288,0.176069
23,MATLAB,225,octave,73923,0.162111
24,ShaderLab,664257356,,62099,0.136181
25,Solidity,237469032,,61103,0.133997
26,Verilog,387,,59514,0.130512
27,Batchfile,29,"bat, batch, dosbatch, winbatch",56843,0.124655
28,Nix,252,nixos,42908,0.094096
29,TSQL,918334941,,42570,0.093355
30,Assembly,24,"asm, nasm",39742,0.087153
31,PLpgSQL,274,,30226,0.066285
32,CMake,47,,26078,0.057188
33,Hack,153,,25198,0.055258
34,Julia,184,,24012,0.052658
35,Wolfram Language,224,"mathematica, mma, wolfram, wolfram lang, wl",22635,0.049638
36,SystemVerilog,363,,22224,0.048737
37,Elixir,100,,21075,0.046217
38,Scala,341,,18869,0.041379
39,Zig,646424281,,18846,0.041329
40,Vim script,388,"vim, viml, nvim, vimscript",17620,0.038640
41,Haskell,157,,17214,0.037750
42,Emacs Lisp,102,"cask, eask, elisp, emacs",17078,0.037452
43,QML,305,,14900,0.032675
44,Perl,282,cperl,14312,0.031386
45,Visual Basic .NET,389,"visual basic, vbnet, vb .net, vb.net",13342,0.029259
46,Pascal,281,"delphi, objectpascal",13219,0.028989
47,Objective-C,257,"obj-c, objc, objectivec",12699,0.027849
48,Groovy,142,,12562,0.027548
49,VHDL,385,,12501,0.027414
50,Clojure,62,,12131,0.026603
51,ASP.NET,564186416,"aspx, aspx-vb",11420,0.025044
52,Cuda,77,,11371,0.024936
53,Luau,365050359,,11030,0.024188
54,Apex,17,,9532,0.020903
55,Typst,704730682,typ,9072,0.019895
56,Processing,294,,7480,0.016403
57,OCaml,255,,7217,0.015827
58,Smarty,353,,7187,0.015761
59,GLSL,124,,6974,0.015294
60,Tcl,367,"sdc, xdc",6970,0.015285
61,AutoHotkey,26,ahk,6369,0.013967
62,Game Maker Language,125,,6266,0.013741
63,Bicep,321200902,,6020,0.013202
64,Prolog,295,,5602,0.012285
65,ABAP,1,,5252,0.011517
66,Common Lisp,66,lisp,5231,0.011471
67,Stata,358,,5012,0.010991
68,F#,105,fsharp,4820,0.010570
69,XSLT,404,xsl,4594,0.010074
70,Just,128447695,Justfile,4386,0.009618
71,BitBake,32,,4250,0.009320
72,OpenSCAD,266,,4246,0.009311
73,VBA,399230729,visual basic for applications,4208,0.009228
